"","Index","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"3788",2022-01-18,151.110001,153.130005,149.830002,152.270004,10419500,152.270004
"3789",2022-01-19,150.839996,152.860001,149.960007,150.110001,10413200,150.110001
"3790",2022-01-20,150.910004,152.660004,147.149994,147.619995,11760400,147.619995
"3791",2022-01-21,141.229996,141.869995,136.630005,137.380005,34491800,137.380005
"3792",2022-01-24,134.820007,137.679993,129.259995,137.460007,31419500,137.460007
"3793",2022-01-25,135.289993,137.75,132.380005,136.509995,14694400,136.509995
"3794",2022-01-26,137.710007,138.199997,132.259995,133.600006,14569900,133.600006
"3795",2022-01-27,135.070007,137.910004,134.020004,135.419998,11913900,135.419998
"3796",2022-01-28,135.210007,138.690002,133.559998,138.630005,10011700,138.630005
"3797",2022-01-31,138.860001,143.149994,138.470001,142.970001,10185500,142.970001
"3798",2022-02-01,143.020004,144.690002,142.25,144.490005,8573300,144.490005
"3799",2022-02-02,144.190002,144.589996,141.380005,142.619995,9529900,142.619995
"3800",2022-02-03,140,142.039993,139.25,140.029999,9820600,140.029999
"3801",2022-02-04,140.039993,143.190002,139.529999,142.020004,8061100,142.020004
"3802",2022-02-07,143.389999,144.089996,141.610001,142.509995,10937500,142.509995
"3803",2022-02-08,141.789993,142.889999,140.740005,142.479996,9231700,142.479996
"3804",2022-02-09,144.369995,147.350006,143.25,147.229996,22877400,147.229996
"3805",2022-02-10,156.020004,157.5,151.110001,152.160004,42500300,152.160004
"3806",2022-02-11,153.539993,154.690002,148.559998,149.470001,17975200,149.470001
"3807",2022-02-14,149.369995,153.729996,149.210007,150.850006,14694700,150.850006
"3808",2022-02-15,153.539993,154.850006,152.509995,154.720001,12726000,154.720001
"3809",2022-02-16,154.979996,156.729996,153.75,156.350006,10656400,156.350006
"3810",2022-02-17,154.690002,155.360001,152.610001,152.949997,8110300,152.949997
"3811",2022-02-18,152.910004,153.679993,150.050003,151.360001,10785500,151.360001
"3812",2022-02-22,150.190002,150.789993,147.610001,148.089996,12227200,148.089996
"3813",2022-02-23,149.5,149.740005,145.5,145.869995,9300700,145.869995
"3814",2022-02-24,140,149.570007,140,149.399994,12475500,149.399994
"3815",2022-02-25,149.559998,150.279999,147.220001,149.529999,10149500,149.529999
"3816",2022-02-28,147.830002,149.479996,146.460007,148.460007,10834700,148.460007
"3817",2022-03-01,147.860001,148.149994,143.779999,145.699997,8944000,145.699997
"3818",2022-03-02,146.309998,148.470001,145.919998,147.339996,7851000,147.339996
"3819",2022-03-03,147.309998,148.649994,144.449997,145.570007,8048400,145.570007
"3820",2022-03-04,144.009995,144.259995,139.550003,140.720001,12913000,140.720001
"3821",2022-03-07,140.279999,140.889999,133.440002,133.5,14549700,133.5
"3822",2022-03-08,133.020004,135.490005,129.289993,131.75,16552000,131.75
"3823",2022-03-09,135.490005,135.5,133.360001,133.649994,14673100,133.649994
"3824",2022-03-10,132.360001,134.199997,131.619995,133.639999,8447200,133.639999
"3825",2022-03-11,135.080002,136.160004,131.570007,131.75,7058400,131.75
"3826",2022-03-14,130.979996,133.070007,128.380005,129.029999,9971500,129.029999
"3827",2022-03-15,129.740005,134.559998,129.509995,134.199997,9834800,134.199997
"3828",2022-03-16,135.649994,138.979996,134.940002,138.139999,10638700,138.139999
"3829",2022-03-17,137.440002,139.470001,136.559998,139.470001,6816000,139.470001
"3830",2022-03-18,139.550003,140.729996,138.300003,140.300003,11308800,140.300003
"3831",2022-03-21,138.899994,139.300003,136.880005,138.619995,9090300,138.619995
"3832",2022-03-22,139.059998,142.190002,138.899994,140.110001,8511600,140.110001
"3833",2022-03-23,139.070007,139.759995,137.539993,137.639999,8761300,137.639999
"3834",2022-03-24,138.580002,139.270004,137.410004,138.960007,5858800,138.960007
"3835",2022-03-25,139.279999,140.380005,138.119995,139.139999,5949400,139.139999
"3836",2022-03-28,138.880005,139.630005,136.279999,138.720001,8456100,138.720001
"3837",2022-03-29,140.960007,144.460007,140.960007,142.380005,11280700,142.380005
"3838",2022-03-30,141.309998,143.270004,140.080002,140.960007,7922400,140.960007
"3839",2022-03-31,140.139999,140.880005,137.110001,137.160004,12306500,137.160004
"3840",2022-04-01,137.339996,138.100006,135.529999,137,10341000,137
"3841",2022-04-04,136.970001,139.259995,136.889999,138.580002,8174600,138.580002
"3842",2022-04-05,137.740005,139.199997,135.130005,135.619995,8694100,135.619995
"3843",2022-04-06,133.75,133.929993,130.809998,132.570007,11679700,132.570007
"3844",2022-04-07,133.009995,133.210007,130.020004,131.869995,9858700,131.869995
"3845",2022-04-08,132,133.119995,130.630005,131.869995,6702000,131.869995
"3846",2022-04-11,130.039993,132.429993,130.039993,130.649994,9915300,130.649994
"3847",2022-04-12,131.809998,133.210007,130.149994,130.839996,7885600,130.839996
"3848",2022-04-13,131.050003,132.889999,130.75,132.350006,7694500,132.350006
"3849",2022-04-14,132.809998,133.589996,130.350006,130.470001,7283500,130.470001
"3850",2022-04-18,130.070007,130.220001,126.82,127.769997,10571000,127.769997
"3851",2022-04-19,128.089996,133.190002,127.790001,131.899994,12767200,131.899994
"3852",2022-04-20,126.050003,127.349998,124.110001,124.57,36465700,124.57
"3853",2022-04-21,125.540001,126.449997,121.279999,121.660004,18688600,121.660004
"3854",2022-04-22,120.010002,121.889999,118.150002,118.269997,19472800,118.269997
"3855",2022-04-25,117.660004,120.330002,116.75,119.949997,16491000,119.949997
"3856",2022-04-26,119.150002,119.150002,115.639999,115.769997,16116000,115.769997
"3857",2022-04-27,115.43,116.900002,113.389999,115.209999,15553000,115.209999
"3858",2022-04-28,115.220001,116,112.690002,115.290001,23192100,115.290001
"3859",2022-04-29,115.199997,115.989998,111.360001,111.629997,16907000,111.629997
"3860",2022-05-02,111.709999,113.660004,111.010002,113.5,14300700,113.5
"3861",2022-05-03,114.050003,114.830002,112.690002,113.550003,11149500,113.550003
"3862",2022-05-04,113.370003,116.440002,111.830002,116.190002,11488300,116.190002
"3863",2022-05-05,114.739998,115.269997,111.480003,112.610001,12720200,112.610001
"3864",2022-05-06,111.769997,112.089996,108.300003,110.290001,12525200,110.290001
"3865",2022-05-09,108.110001,110.739998,106.480003,106.980003,17941600,106.980003
"3866",2022-05-10,109.839996,110.699997,106.139999,107.68,15657700,107.68
"3867",2022-05-11,107.900002,110.07,104.790001,105.209999,26933300,105.209999
"3868",2022-05-12,102.900002,105,99.470001,104.309998,36298800,104.309998
"3869",2022-05-13,105.360001,107.690002,105.309998,107.330002,16782600,107.330002
"3870",2022-05-16,107.459999,107.620003,104.849998,105.18,11993600,105.18
"3871",2022-05-17,107.730003,108.790001,106.300003,108.639999,11847600,108.639999
"3872",2022-05-18,107.379997,107.660004,103.879997,104.300003,11794000,104.300003
"3873",2022-05-19,103.43,105.300003,102.959999,103.139999,11285000,103.139999
"3874",2022-05-20,104.489998,104.800003,100.050003,102.419998,15650400,102.419998
"3875",2022-05-23,103.760002,106.029999,101.559998,105.830002,14402400,105.830002
"3876",2022-05-24,103.709999,103.839996,100.129997,101.589996,13970200,101.589996
"3877",2022-05-25,101.43,103.809998,101.160004,103.260002,11026600,103.260002
"3878",2022-05-26,104.220001,106.129997,103.959999,105.610001,11297800,105.610001
"3879",2022-05-27,106.889999,109.370003,106.529999,109.32,13671300,109.32
"3880",2022-05-31,110,111.239998,107.910004,110.440002,20274600,110.440002
"3881",2022-06-01,112.010002,112.849998,108.269997,109.190002,11829700,109.190002
"3882",2022-06-02,109.43,110.949997,107.910004,110.870003,8829900,110.870003
"3883",2022-06-03,109.169998,109.849998,107.919998,108.669998,6758900,108.669998
"3884",2022-06-06,109.75,110.190002,107.650002,107.830002,7575900,107.830002
"3885",2022-06-07,106.790001,107.919998,106,107.790001,7279100,107.790001
"3886",2022-06-08,107.43,109.360001,106.959999,107.339996,7019500,107.339996
"3887",2022-06-09,106.529999,107.059998,103.25,103.300003,8261200,103.300003
"3888",2022-06-10,101.43,102.120003,99.379997,99.400002,15369700,99.400002
"3889",2022-06-13,97.610001,97.610001,94.830002,95.709999,15239700,95.709999
"3890",2022-06-14,96.269997,96.269997,93.099998,94.220001,12443700,94.220001
"3891",2022-06-15,94.610001,97.300003,94.089996,95.879997,11751600,95.879997
"3892",2022-06-16,94.010002,95.379997,93.410004,94.279999,15298500,94.279999
"3893",2022-06-17,94.010002,95.970001,93.470001,94.339996,15321000,94.339996
"3894",2022-06-21,94.900002,95.449997,93.269997,93.290001,16649800,93.290001
"3895",2022-06-22,92.169998,94.610001,92.010002,93.5,11403500,93.5
"3896",2022-06-23,93.959999,94.650002,92.07,94.300003,11348800,94.300003
"3897",2022-06-24,95.449997,98.57,95.400002,97.779999,11666500,97.779999
"3898",2022-06-27,98.220001,98.230003,95.800003,96.610001,10793700,96.610001
"3899",2022-06-28,99.739998,100.400002,95.779999,95.919998,16812400,95.919998
"3900",2022-06-29,95.949997,96.199997,94.529999,95.650002,8653200,95.650002
"3901",2022-06-30,94.419998,95.440002,92.540001,94.400002,10983500,94.400002
"3902",2022-07-01,94.239998,96.309998,93.980003,96.139999,10536400,96.139999
"3903",2022-07-05,94.260002,97.230003,92.309998,97.18,10660600,97.18
"3904",2022-07-06,97.529999,98.190002,95.400002,96.080002,8640200,96.080002
"3905",2022-07-07,96.900002,97.529999,95.93,97.43,7813100,97.43
"3906",2022-07-08,96.57,97.120003,95.349998,95.860001,7709000,95.860001
"3907",2022-07-11,95,95.339996,93.43,93.639999,7643700,93.639999
"3908",2022-07-12,93.580002,95.25,93.309998,93.599998,8665300,93.599998
"3909",2022-07-13,92.120003,93.25,91.010002,92.940002,12006400,92.940002
"3910",2022-07-14,91.480003,92.040001,90.230003,91.839996,10611493,91.839996
"3911",2022-07-15,92.910004,95.32,92.699997,95.199997,14838900,95.199997
