"","Index","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"2910",2022-01-18,1026.609985,1070.790039,1016.059998,1030.51001,22247800,1030.51001
"2911",2022-01-19,1041.709961,1054.670044,995,995.650024,25147500,995.650024
"2912",2022-01-20,1009.72998,1041.660034,994,996.27002,23496200,996.27002
"2913",2022-01-21,996.340027,1004.549988,940.5,943.900024,34472000,943.900024
"2914",2022-01-24,904.76001,933.51001,851.469971,930,50521900,930
"2915",2022-01-25,914.200012,951.26001,903.210022,918.400024,28865300,918.400024
"2916",2022-01-26,952.429993,987.690002,906,937.409973,34955800,937.409973
"2917",2022-01-27,933.359985,935.390015,829,829.099976,49036500,829.099976
"2918",2022-01-28,831.559998,857.5,792.01001,846.349976,44929700,846.349976
"2919",2022-01-31,872.710022,937.98999,862.049988,936.719971,34812000,936.719971
"2920",2022-02-01,935.210022,943.700012,905,931.25,24379400,931.25
"2921",2022-02-02,928.179993,931.5,889.409973,905.659973,22264300,905.659973
"2922",2022-02-03,882,937,880.52002,891.140015,26285200,891.140015
"2923",2022-02-04,897.219971,936.5,881.169983,923.320007,24541800,923.320007
"2924",2022-02-07,923.789978,947.77002,902.710022,907.340027,20331500,907.340027
"2925",2022-02-08,905.530029,926.289978,894.799988,922,16909700,922
"2926",2022-02-09,935,946.27002,920,932,17419800,932
"2927",2022-02-10,908.369995,943.809998,896.700012,904.549988,22042300,904.549988
"2928",2022-02-11,909.630005,915.960022,850.700012,860,26548600,860
"2929",2022-02-14,861.570007,898.880005,853.150024,875.76001,22585500,875.76001
"2930",2022-02-15,900,923,893.380005,922.429993,19095400,922.429993
"2931",2022-02-16,914.049988,926.429993,901.210022,923.390015,17098100,923.390015
"2932",2022-02-17,913.26001,918.5,874.099976,876.349976,18392800,876.349976
"2933",2022-02-18,886,886.869995,837.609985,856.97998,22833900,856.97998
"2934",2022-02-22,834.130005,856.72998,801.099976,821.530029,27762700,821.530029
